Month,Boston,New York City,+/-
Jan,-1.65,-0.23,1.41
Feb,-1.22,0.33,1.54
Mar,2.1,3.97,1.87
Apr,8.19,10.07,1.89
May,14.49,15.79,1.3
Jun,19.58,20.92,1.34
Jul,23.4,24.54,1.14
Aug,22.57,23.53,0.96
Sep,18.73,20.07,1.34
Oct,12.87,14.25,1.38
Nov,5.9,7.2,1.31
Dec,1.63,3.25,1.62
,,,
